3,15,3,7月15日
1,7,1,7月14日
3,13,3,7月10日
1,6,2,7月6日
0,2,2,7月3日
2,2,0,6月30日
0,3,0,6月29日
1,2,2,6月28日
1,0,0,6月28日
0,0,0,6月27日
1,6,0,6月27日
2,2,1,6月26日
1,0,0,6月26日
4,6,5,6月23日
225,166,216,6月21日
11,72,2073,6月19日
3,6,5,6月17日
1,3,1,6月15日
2,3,0,6月15日
3,11,5,6月14日
2,26,1,6月13日
1,8,0,6月10日
2,2,0,6月9日
7,1,3,6月8日
2,11,0,6月8日
20,26,7,6月8日
2,1,0,6月7日
0,4,0,6月6日
2,8,0,6月1日
0,15,4,5月26日
1,7,0,5月25日
2,7,0,5月25日
3,3,1,5月25日
7,7,3,5月24日
60,198,146,5月19日
12,36,2,5月18日
161,230,592,4月26日
300,105,162,4月25日
272,115,310,4月25日
8,199,6,3月14日
2,80,2,3月8日
2,61,1,2月14日
0,31,1,2月13日
3,29,0,2月8日
1,40,0,1月31日
2,51,1,1月24日
5,67,1,1月18日
13,50,20,1月14日
9,18,6,1月14日
5,8,1,1月13日
395,1725,2378,1月12日
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
